circular_id,circular_number,circular_name,branch_name,year,circular_date,circular_url,english_url,sinhala_url,tamil_url,complete_trilingual
563,311/1985,Implementation of the Minute of the Middle Level Unified Technical Service,,1985,1985-11-01,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=563&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/311-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/311-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/311-1985(t).pdf,True
552,310/1985,Loans/Advances to Public Officers,,1985,1985-10-30,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=552&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/310-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/310-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/310-1985(t).pdf,True
538,309/1985,Special Advance to Public Officers -1986,,1985,1985-10-25,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=538&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/309-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/309-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/309-1985(t).pdf,True
545,308/1985,Drunkenness or Smeling of Liquor,,1985,1985-10-24,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=545&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/308-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/308-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/308-1985(t).pdf,True
544,307/1985,"Duty leave, to Members of poor Relief Commitees.",,1985,1985-10-16,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=544&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/307-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/307-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/307-1985(t).pdf,True
543,306/1985,Revision of obligatory period of service in respect of full pay study leave within the island.,,1985,1985-09-11,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=543&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/306-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/306-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/306-1985(t).pdf,True
542,304/1985,Approval of leave for a public officer of the combined services proceeding on duty abroad.,,1985,1985-09-09,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=542&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/304-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/304-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/304-1985(t).pdf,True
504,305/1985,Class of travel by train Payment for working during week ends and public holidays,,1985,1985-09-05,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=504&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/305-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/305-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/305-1985(t).pdf,True
537,303/1985,Revision of obligatory period of servicein respect of full pay study leave within the island.,,1985,1985-08-16,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=537&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/303-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/303-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/303-1985(t).pdf,True
535,300/1985,Winding up of the Department of Credit Councils,,1985,1985-07-25,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=535&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/300-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/300-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/300-1985(t).pdf,True
536,301/1985,Officrs who vacated post in July 1980.,,1985,1985-07-25,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=536&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/301-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/301-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/301-1985(t).pdf,True
2103,302,No-Pay leave for spouses of officers posted abroad.,,1985,1985-07-25,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=2103&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/1713951731-302-e.pdf,https://pubad.gov.lk/web/images/circulars/1985/S/1713951731-302-s.pdf,https://pubad.gov.lk/web/images/circulars/1985/T/1713951731-302-t.pdf,True
513,299/1985,Concessions to Ex-servicemen.,,1985,1985-07-23,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=513&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/299-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/299-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/299-1985(t).pdf,True
512,298/1985,Unified Technical Service for Middle Level Technical Officers,,1985,1985-07-02,https://pubad.gov.lk/web/index.php?option=com_circular&view=circular&cid=512&Itemid=176&lang=en,https://pubad.gov.lk/web/images/circulars/1985/E/298-1985(e).pdf,https://pubad.gov.lk/web/images/circulars/1985/S/298-1985(s).pdf,https://pubad.gov.lk/web/images/circulars/1985/T/298-1985(t).pdf,True
